"exclude_index","aucs"
0,0.037719298245614
1,0.037719298245614
2,0.037719298245614
3,0.037719298245614
4,0.037719298245614
5,0.037719298245614
6,0.037719298245614
7,0.037719298245614
8,0.037719298245614
9,0.037719298245614
10,0.037719298245614
11,0.037719298245614
12,0.037719298245614
13,0.037719298245614
14,0.037719298245614
15,0.037719298245614
16,0.037719298245614
17,0.037719298245614
18,0.037719298245614
19,0.037719298245614
20,0.037719298245614
21,0.037719298245614
22,0.037719298245614
23,0.037719298245614
72,0.0429824561403509
24,0.037719298245614
